"Phi [deg]","Theta [deg]","Freq [GHz]","dB(GainTotal) []"
0,0,2.3,1.61247416620742
0,0,2.35,2.21444431189006
0,0,2.4,2.65367541143973
0,0,2.45,2.86961315447336
0,0,2.5,2.81816104621515
0,0,2.55,2.48964726785243
0,0,2.6,1.91358622068784
0,0,2.65,1.14603310431389
0,0,2.7,0.249726668512832
0,0,2.75,-0.720361581428685
0,0,2.8,-1.72240552138491
90,0,2.3,1.61247416620742
90,0,2.35,2.21444431189006
90,0,2.4,2.65367541143973
90,0,2.45,2.86961315447336
90,0,2.5,2.81816104621515
90,0,2.55,2.48964726785243
90,0,2.6,1.91358622068784
90,0,2.65,1.14603310431389
90,0,2.7,0.249726668512832
90,0,2.75,-0.720361581428685
90,0,2.8,-1.72240552138491
180,0,2.3,1.61247416620742
180,0,2.35,2.21444431189006
180,0,2.4,2.65367541143973
180,0,2.45,2.86961315447336
180,0,2.5,2.81816104621515
180,0,2.55,2.48964726785243
180,0,2.6,1.91358622068784
180,0,2.65,1.14603310431389
180,0,2.7,0.249726668512832
180,0,2.75,-0.720361581428685
180,0,2.8,-1.72240552138491
270,0,2.3,1.61247416620742
270,0,2.35,2.21444431189006
270,0,2.4,2.65367541143973
270,0,2.45,2.86961315447336
270,0,2.5,2.81816104621515
270,0,2.55,2.48964726785243
270,0,2.6,1.91358622068784
270,0,2.65,1.14603310431389
270,0,2.7,0.249726668512832
270,0,2.75,-0.720361581428685
270,0,2.8,-1.72240552138491
360,0,2.3,1.61247416620742
360,0,2.35,2.21444431189006
360,0,2.4,2.65367541143973
360,0,2.45,2.86961315447336
360,0,2.5,2.81816104621515
360,0,2.55,2.48964726785243
360,0,2.6,1.91358622068784
360,0,2.65,1.14603310431389
360,0,2.7,0.249726668512832
360,0,2.75,-0.720361581428685
360,0,2.8,-1.72240552138491
0,30,2.3,0.576735123105702
0,30,2.35,1.20233864510857
0,30,2.4,1.66130637176312
0,30,2.45,1.89282459270334
0,30,2.5,1.85258884365747
0,30,2.55,1.5307501028925
0,30,2.6,0.956662802195571
0,30,2.65,0.186234110839512
0,30,2.7,-0.717928705949617
0,30,2.75,-1.70095423948378
0,30,2.8,-2.72106080926099
90,30,2.3,0.326739189697141
90,30,2.35,0.947099724400365
90,30,2.4,1.40967261380705
90,30,2.45,1.65374689731115
90,30,2.5,1.63529867133525
90,30,2.55,1.34496152635626
90,30,2.6,0.812774571966824
90,30,2.65,0.0955121797191608
90,30,2.7,-0.743202681128505
90,30,2.75,-1.6473776807458
90,30,2.8,-2.5740519518579
180,30,2.3,0.615050798936977
180,30,2.35,1.2301432021982
180,30,2.4,1.67842559637527
180,30,2.45,1.89920340846877
180,30,2.5,1.84829260250789
180,30,2.55,1.5159606396134
180,30,2.6,0.931670892034894
180,30,2.65,0.151430474816215
180,30,2.7,-0.762064215405514
180,30,2.75,-1.75386610896261
180,30,2.8,-2.78213345227951
270,30,2.3,0.575633605799547
270,30,2.35,1.11089619140712
270,30,2.4,1.48237096469968
270,30,2.45,1.62964183301682
270,30,2.5,1.50855597502882
270,30,2.55,1.10919140440217
270,30,2.6,0.460615851644082
270,30,2.65,-0.381771451490288
270,30,2.7,-1.35612512124612
270,30,2.75,-2.40864956244584
270,30,2.8,-3.49903896247789
360,30,2.3,0.576735123105702
360,30,2.35,1.20233864510857
360,30,2.4,1.66130637176312
360,30,2.45,1.89282459270334
360,30,2.5,1.85258884365747
360,30,2.55,1.5307501028925
360,30,2.6,0.95666280219557
360,30,2.65,0.186234110839513
360,30,2.7,-0.717928705949618
360,30,2.75,-1.70095423948378
360,30,2.8,-2.72106080926099
0,60,2.3,-2.34205473899901
0,60,2.35,-1.61087196232317
0,60,2.4,-1.05724587608031
0,60,2.45,-0.741783937327827
0,60,2.5,-0.708395781729246
0,60,2.55,-0.966442406020099
0,60,2.6,-1.4860527148714
0,60,2.65,-2.21080793928199
0,60,2.7,-3.07759934196784
0,60,2.75,-4.03104240637407
0,60,2.8,-5.02878276234988
90,60,2.3,-3.03508864430836
90,60,2.35,-2.48420725485997
90,60,2.4,-2.0767793864462
90,60,2.45,-1.87461737157889
90,60,2.5,-1.92286852737995
90,60,2.55,-2.23193866654266
90,60,2.6,-2.77270682294831
90,60,2.65,-3.48921034804183
90,60,2.7,-4.31857498081725
90,60,2.75,-5.20553642197339
90,60,2.8,-6.10785729086958
180,60,2.3,-2.23138867291954
180,60,2.35,-1.52081522003272
180,60,2.4,-0.987330348554267
180,60,2.45,-0.691481515848251
180,60,2.5,-0.677116158144568
180,60,2.55,-0.953536951243008
180,60,2.6,-1.4908229721602
180,60,2.65,-2.23251678102581
180,60,2.7,-3.1154859574147
180,60,2.75,-4.08434004800979
180,60,2.8,-5.09673893244898
270,60,2.3,-2.74049035287582
270,60,2.35,-2.32017004139004
270,60,2.4,-2.0532710544459
270,60,2.45,-1.99926686323471
270,60,2.5,-2.20150681191722
270,60,2.55,-2.6692447246715
270,60,2.6,-3.37291321480278
270,60,2.65,-4.25685929129703
270,60,2.7,-5.2593445134427
270,60,2.75,-6.32717541469481
270,60,2.8,-7.42126235835956
360,60,2.3,-2.34205473899902
360,60,2.35,-1.61087196232317
360,60,2.4,-1.05724587608031
360,60,2.45,-0.741783937327825
360,60,2.5,-0.70839578172925
360,60,2.55,-0.966442406020099
360,60,2.6,-1.4860527148714
360,60,2.65,-2.21080793928199
360,60,2.7,-3.07759934196784
360,60,2.75,-4.03104240637407
360,60,2.8,-5.02878276234988
0,90,2.3,-6.60029621113327
0,90,2.35,-5.61003395909405
0,90,2.4,-4.81866157706499
0,90,2.45,-4.28378696780733
0,90,2.5,-4.04644819026071
0,90,2.55,-4.11336370250113
0,90,2.6,-4.45229867066899
0,90,2.65,-5.00477120516474
0,90,2.7,-5.70591908570232
0,90,2.75,-6.49892107743044
0,90,2.8,-7.34031507694303
90,90,2.3,-7.45088750372082
90,90,2.35,-7.31853369360261
90,90,2.4,-7.30941787361731
90,90,2.45,-7.47695771576281
90,90,2.5,-7.86003818645225
90,90,2.55,-8.46541799889465
90,90,2.6,-9.26328260198596
90,90,2.65,-10.2001174925977
90,90,2.7,-11.2186428015123
90,90,2.75,-12.2721021575597
90,90,2.8,-13.3291615704452
180,90,2.3,-6.39485583214914
180,90,2.35,-5.42191005501496
180,90,2.4,-4.64687383145141
180,90,2.45,-4.12729794698131
180,90,2.5,-3.90418657281099
180,90,2.55,-3.98424528149239
180,90,2.6,-4.3352471824807
180,90,2.65,-4.89873969228545
180,90,2.7,-5.6099161731173
180,90,2.75,-6.41204243314179
180,90,2.8,-7.26178311867632
270,90,2.3,-7.90218900582841
270,90,2.35,-7.79642044900866
270,90,2.4,-7.81796526678463
270,90,2.45,-8.01846032784008
270,90,2.5,-8.43413129268104
270,90,2.55,-9.06815632415458
270,90,2.6,-9.8862924449169
270,90,2.65,-10.8299392330112
270,90,2.7,-11.8363166164856
270,90,2.75,-12.852932319047
270,90,2.8,-13.8424398155982
360,90,2.3,-6.60029621113327
360,90,2.35,-5.61003395909404
360,90,2.4,-4.81866157706499
360,90,2.45,-4.28378696780733
360,90,2.5,-4.04644819026071
360,90,2.55,-4.11336370250112
360,90,2.6,-4.45229867066899
360,90,2.65,-5.00477120516474
360,90,2.7,-5.70591908570232
360,90,2.75,-6.49892107743044
360,90,2.8,-7.34031507694303
0,120,2.3,-9.23253032250788
0,120,2.35,-8.38500851591525
0,120,2.4,-7.62772610800752
0,120,2.45,-7.04187416780895
0,120,2.5,-6.69012711006963
0,120,2.55,-6.59711795847349
0,120,2.6,-6.74445731506072
0,120,2.65,-7.08390379950884
0,120,2.7,-7.55801390852864
0,120,2.75,-8.11538000719137
0,120,2.8,-8.71666536492737
90,120,2.3,-8.8274978730937
90,120,2.35,-9.38823654683659
90,120,2.4,-10.250322285692
90,120,2.45,-11.5093595287433
90,120,2.5,-13.2628369762961
90,120,2.55,-15.6035535137624
90,120,2.6,-18.632788180563
90,120,2.65,-22.4798514755914
90,120,2.7,-27.0711086007133
90,120,2.75,-30.1491450396477
90,120,2.8,-28.7549008510703
180,120,2.3,-9.3477406095008
180,120,2.35,-8.44207151400416
180,120,2.4,-7.63734876486079
180,120,2.45,-7.01480398673685
180,120,2.5,-6.63607345437986
180,120,2.55,-6.52431571886156
180,120,2.6,-6.6596623844152
180,120,2.65,-6.99260538899547
180,120,2.7,-7.46471920180139
180,120,2.75,-8.02389447339323
180,120,2.8,-8.63034586923577
270,120,2.3,-10.7475211741769
270,120,2.35,-11.0405961324541
270,120,2.4,-11.4627560026574
270,120,2.45,-12.0498800259171
270,120,2.5,-12.8257567232282
270,120,2.55,-13.7896682936457
270,120,2.6,-14.9163930135365
270,120,2.65,-16.1709336849549
270,120,2.7,-17.5273249332834
270,120,2.75,-18.980393832728
270,120,2.8,-20.5490288160503
360,120,2.3,-9.23253032250788
360,120,2.35,-8.38500851591524
360,120,2.4,-7.62772610800752
360,120,2.45,-7.04187416780895
360,120,2.5,-6.69012711006962
360,120,2.55,-6.59711795847349
360,120,2.6,-6.74445731506072
360,120,2.65,-7.08390379950884
360,120,2.7,-7.55801390852865
360,120,2.75,-8.11538000719137
360,120,2.8,-8.71666536492737
0,150,2.3,-6.94271702396551
0,150,2.35,-6.75504495011705
0,150,2.4,-6.62430763226069
0,150,2.45,-6.58873501543949
0,150,2.5,-6.68184227054127
0,150,2.55,-6.91663577037999
0,150,2.6,-7.27909679127151
0,150,2.65,-7.73619612823728
0,150,2.7,-8.25058082343326
0,150,2.75,-8.79118503073431
0,150,2.8,-9.33667165019386
90,150,2.3,-6.50411540964278
90,150,2.35,-6.71076639211955
90,150,2.4,-7.07233290879689
90,150,2.45,-7.60821973022126
90,150,2.5,-8.30555518158663
90,150,2.55,-9.10563674603327
90,150,2.6,-9.9150225123877
90,150,2.65,-10.6425779037373
90,150,2.7,-11.2363315067575
90,150,2.75,-11.6923273863611
90,150,2.8,-12.0370414535047
180,150,2.3,-7.10070366777358
180,150,2.35,-6.89639106016472
180,150,2.4,-6.7430570681201
180,150,2.45,-6.67946665644361
180,150,2.5,-6.74085902752579
180,150,2.55,-6.94271129413585
180,150,2.6,-7.27346319669194
180,150,2.65,-7.70191507856645
180,150,2.7,-8.19170570022164
180,150,2.75,-8.7120698465087
180,150,2.8,-9.2415771123213
270,150,2.3,-7.43112254591674
270,150,2.35,-7.34576317696266
270,150,2.4,-7.34157020547557
270,150,2.45,-7.461265932054
270,150,2.5,-7.74048642514433
270,150,2.55,-8.19169644459288
270,150,2.6,-8.79866556288158
270,150,2.65,-9.52621651270088
270,150,2.7,-10.3364889573303
270,150,2.75,-11.2004714135396
270,150,2.8,-12.1017911454829
360,150,2.3,-6.94271702396551
360,150,2.35,-6.75504495011705
360,150,2.4,-6.62430763226069
360,150,2.45,-6.58873501543949
360,150,2.5,-6.68184227054127
360,150,2.55,-6.91663577037999
360,150,2.6,-7.27909679127151
360,150,2.65,-7.73619612823728
360,150,2.7,-8.25058082343326
360,150,2.75,-8.79118503073431
360,150,2.8,-9.33667165019386
0,180,2.3,-5.51896758268126
0,180,2.35,-5.43260475486246
0,180,2.4,-5.43743252903242
0,180,2.45,-5.56555854890256
0,180,2.5,-5.83738039339165
0,180,2.55,-6.24856631693347
0,180,2.6,-6.76851776463084
0,180,2.65,-7.35287987374136
0,180,2.7,-7.96002131482879
0,180,2.75,-8.56064077688598
0,180,2.8,-9.13885442927988
90,180,2.3,-5.51896758268126
90,180,2.35,-5.43260475486246
90,180,2.4,-5.43743252903242
90,180,2.45,-5.56555854890255
90,180,2.5,-5.83738039339165
90,180,2.55,-6.24856631693347
90,180,2.6,-6.76851776463084
90,180,2.65,-7.35287987374136
90,180,2.7,-7.96002131482879
90,180,2.75,-8.56064077688598
90,180,2.8,-9.13885442927988
180,180,2.3,-5.51896758268126
180,180,2.35,-5.43260475486246
180,180,2.4,-5.43743252903242
180,180,2.45,-5.56555854890255
180,180,2.5,-5.83738039339165
180,180,2.55,-6.24856631693346
180,180,2.6,-6.76851776463084
180,180,2.65,-7.35287987374137
180,180,2.7,-7.96002131482878
180,180,2.75,-8.56064077688598
180,180,2.8,-9.13885442927988
270,180,2.3,-5.51896758268126
270,180,2.35,-5.43260475486246
270,180,2.4,-5.43743252903242
270,180,2.45,-5.56555854890255
270,180,2.5,-5.83738039339165
270,180,2.55,-6.24856631693347
270,180,2.6,-6.76851776463084
270,180,2.65,-7.35287987374136
270,180,2.7,-7.96002131482878
270,180,2.75,-8.56064077688598
270,180,2.8,-9.13885442927988
360,180,2.3,-5.51896758268126
360,180,2.35,-5.43260475486246
360,180,2.4,-5.43743252903242
360,180,2.45,-5.56555854890256
360,180,2.5,-5.83738039339165
360,180,2.55,-6.24856631693347
360,180,2.6,-6.76851776463084
360,180,2.65,-7.35287987374136
360,180,2.7,-7.96002131482879
360,180,2.75,-8.56064077688598
360,180,2.8,-9.13885442927988
