,Voltage,l,lf,lg,li,w,wf,wg,wi
1,0V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
2,0V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
3,0V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
4,0V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
5,0V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
6,0V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
7,0V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
8,0V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
9,0V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
10,1V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
11,1V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
12,1V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
13,1V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
14,1V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
15,1V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
16,1V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
17,1V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
18,1V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
19,2V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
20,2V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
21,2V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
22,2V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
23,2V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
24,2V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
25,2V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
26,2V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
27,2V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
28,3V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
29,3V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
30,3V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
31,3V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
32,3V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
33,3V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
34,3V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
35,3V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
36,3V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
37,4V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
38,4V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
39,4V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
40,4V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
41,4V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
42,4V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
43,4V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
44,4V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
45,4V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
46,5V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
47,5V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
48,5V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
49,5V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
50,5V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
51,5V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
52,5V,27mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
53,5V,27mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
54,5V,27mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
595,0V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
596,0V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
597,0V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
598,0V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
599,0V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
600,0V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
601,0V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
602,0V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
603,0V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
604,1V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
605,1V,27.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
606,1V,27.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
607,1V,27.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
