"l [mm]","li [mm]","Phi [deg]","Theta [deg]","Voltage [V]","w [mm]","wi [mm]","Freq [GHz]","dB(GainTotal) []"
27,10.5,0,0,0,28,1.5,2.5,2.74711114533957
27,10.5,0,0,1,28,1.5,2.5,2.74711114533957
27,10.5,0,0,2,28,1.5,2.5,2.74711114533957
27,10.5,0,0,3,28,1.5,2.5,2.74711114533957
27,10.5,0,0,4,28,1.5,2.5,2.74711114533957
27,10.5,0,0,5,28,1.5,2.5,2.74711114533957
27,10.5,0,0,0,28.5,1.5,2.5,2.79586063812341
28.5,10.5,0,0,0,30.5,1.5,2.02,-2.67724764329932
28.5,10.5,0,0,0,30.5,1.5,2.04,-2.38470291974185
28.5,10.5,0,0,0,30.5,1.5,2.06,-2.08614590527692
28.5,10.5,0,0,0,30.5,1.5,2.08,-1.78222996853253
28.5,10.5,0,0,0,30.5,1.5,2.12,-1.1614487055801
28.5,10.5,0,0,0,30.5,1.5,2.14,-0.846457769982765
28.5,10.5,0,0,0,30.5,1.5,2.16,-0.529898013986956
28.5,10.5,0,0,0,30.5,1.5,2.18,-0.21311503592132
28.5,10.5,0,0,0,30.5,1.5,2.22,0.414658646527834
28.5,10.5,0,0,0,30.5,1.5,2.24,0.721789238241578
28.5,10.5,0,0,0,30.5,1.5,2.26,1.02136393661186
28.5,10.5,0,0,0,30.5,1.5,2.28,1.31069700587471
28.5,10.5,0,0,0,30.5,1.5,2.32,1.846219993299
28.5,10.5,0,0,0,30.5,1.5,2.34,2.08539736311212
28.5,10.5,0,0,0,30.5,1.5,2.36,2.30039759991032
28.5,10.5,0,0,0,30.5,1.5,2.38,2.48717899271709
28.5,10.5,0,0,0,30.5,1.5,2.42,2.76015952055993
28.5,10.5,0,0,0,30.5,1.5,2.44,2.83913395194688
28.5,10.5,0,0,0,30.5,1.5,2.46,2.87588942868547
28.5,10.5,0,0,0,30.5,1.5,2.48,2.86851086994453
28.5,10.5,0,0,0,30.5,1.5,2.5,2.81604937649466
28.5,10.5,0,0,0,30.5,1.5,2.52,2.71863857829977
28.5,10.5,0,0,0,30.5,1.5,2.54,2.57752010607709
28.5,10.5,0,0,0,30.5,1.5,2.56,2.39494268104456
28.5,10.5,0,0,0,30.5,1.5,2.58,2.17397629664627
28.5,10.5,0,0,0,30.5,1.5,2.62,1.63189191068227
28.5,10.5,0,0,0,30.5,1.5,2.64,1.31895786802184
28.5,10.5,0,0,0,30.5,1.5,2.66,0.983596908461339
28.5,10.5,0,0,0,30.5,1.5,2.68,0.629734123886713
28.5,10.5,0,0,0,30.5,1.5,2.72,-0.119278138824424
28.5,10.5,0,0,0,30.5,1.5,2.74,-0.508193455882813
28.5,10.5,0,0,0,30.5,1.5,2.76,-0.903162731959802
28.5,10.5,0,0,0,30.5,1.5,2.78,-1.30195554656848
28.5,10.5,0,0,0,30.5,1.5,2.82,-2.1036306203608
28.5,10.5,0,0,0,30.5,1.5,2.84,-2.50349179820609
28.5,10.5,0,0,0,30.5,1.5,2.86,-2.90106641868179
28.5,10.5,0,0,0,30.5,1.5,2.88,-3.29536378148667
28.5,10.5,0,0,0,30.5,1.5,2.92,-4.07091331446887
28.5,10.5,0,0,0,30.5,1.5,2.94,-4.4508632600928
28.5,10.5,0,0,0,30.5,1.5,2.96,-4.82489203590276
28.5,10.5,0,0,0,30.5,1.5,2.98,-5.19256949307019
27,10.5,90,0,0,28,1.5,2.5,2.74711114533957
27,10.5,90,0,1,28,1.5,2.5,2.74711114533957
27,10.5,90,0,2,28,1.5,2.5,2.74711114533957
27,10.5,90,0,3,28,1.5,2.5,2.74711114533957
27,10.5,90,0,4,28,1.5,2.5,2.74711114533957
27,10.5,90,0,5,28,1.5,2.5,2.74711114533957
27,10.5,90,0,0,28.5,1.5,2.5,2.79586063812341
28.5,10.5,90,0,0,30.5,1.5,2.02,-2.67724764329932
28.5,10.5,90,0,0,30.5,1.5,2.04,-2.38470291974185
28.5,10.5,90,0,0,30.5,1.5,2.06,-2.08614590527692
28.5,10.5,90,0,0,30.5,1.5,2.08,-1.78222996853253
28.5,10.5,90,0,0,30.5,1.5,2.12,-1.1614487055801
28.5,10.5,90,0,0,30.5,1.5,2.14,-0.846457769982765
28.5,10.5,90,0,0,30.5,1.5,2.16,-0.529898013986956
28.5,10.5,90,0,0,30.5,1.5,2.18,-0.21311503592132
28.5,10.5,90,0,0,30.5,1.5,2.22,0.414658646527834
28.5,10.5,90,0,0,30.5,1.5,2.24,0.721789238241578
28.5,10.5,90,0,0,30.5,1.5,2.26,1.02136393661186
28.5,10.5,90,0,0,30.5,1.5,2.28,1.31069700587471
28.5,10.5,90,0,0,30.5,1.5,2.32,1.846219993299
28.5,10.5,90,0,0,30.5,1.5,2.34,2.08539736311212
28.5,10.5,90,0,0,30.5,1.5,2.36,2.30039759991032
28.5,10.5,90,0,0,30.5,1.5,2.38,2.48717899271709
28.5,10.5,90,0,0,30.5,1.5,2.42,2.76015952055993
28.5,10.5,90,0,0,30.5,1.5,2.44,2.83913395194688
28.5,10.5,90,0,0,30.5,1.5,2.46,2.87588942868547
28.5,10.5,90,0,0,30.5,1.5,2.48,2.86851086994453
28.5,10.5,90,0,0,30.5,1.5,2.5,2.81604937649466
28.5,10.5,90,0,0,30.5,1.5,2.52,2.71863857829977
28.5,10.5,90,0,0,30.5,1.5,2.54,2.57752010607709
28.5,10.5,90,0,0,30.5,1.5,2.56,2.39494268104456
28.5,10.5,90,0,0,30.5,1.5,2.58,2.17397629664627
28.5,10.5,90,0,0,30.5,1.5,2.62,1.63189191068227
28.5,10.5,90,0,0,30.5,1.5,2.64,1.31895786802184
28.5,10.5,90,0,0,30.5,1.5,2.66,0.983596908461339
28.5,10.5,90,0,0,30.5,1.5,2.68,0.629734123886713
28.5,10.5,90,0,0,30.5,1.5,2.72,-0.119278138824424
28.5,10.5,90,0,0,30.5,1.5,2.74,-0.508193455882813
28.5,10.5,90,0,0,30.5,1.5,2.76,-0.903162731959802
28.5,10.5,90,0,0,30.5,1.5,2.78,-1.30195554656848
28.5,10.5,90,0,0,30.5,1.5,2.82,-2.1036306203608
28.5,10.5,90,0,0,30.5,1.5,2.84,-2.50349179820609
28.5,10.5,90,0,0,30.5,1.5,2.86,-2.90106641868179
28.5,10.5,90,0,0,30.5,1.5,2.88,-3.29536378148667
28.5,10.5,90,0,0,30.5,1.5,2.92,-4.07091331446887
28.5,10.5,90,0,0,30.5,1.5,2.94,-4.4508632600928
28.5,10.5,90,0,0,30.5,1.5,2.96,-4.82489203590276
28.5,10.5,90,0,0,30.5,1.5,2.98,-5.19256949307019
27,10.5,180,0,0,28,1.5,2.5,2.74711114533957
27,10.5,180,0,1,28,1.5,2.5,2.74711114533957
27,10.5,180,0,2,28,1.5,2.5,2.74711114533957
27,10.5,180,0,3,28,1.5,2.5,2.74711114533957
27,10.5,180,0,4,28,1.5,2.5,2.74711114533957
27,10.5,180,0,5,28,1.5,2.5,2.74711114533957
27,10.5,180,0,0,28.5,1.5,2.5,2.79586063812341
28.5,10.5,180,0,0,30.5,1.5,2.02,-2.67724764329932
28.5,10.5,180,0,0,30.5,1.5,2.04,-2.38470291974185
28.5,10.5,180,0,0,30.5,1.5,2.06,-2.08614590527692
28.5,10.5,180,0,0,30.5,1.5,2.08,-1.78222996853253
28.5,10.5,180,0,0,30.5,1.5,2.12,-1.1614487055801
28.5,10.5,180,0,0,30.5,1.5,2.14,-0.846457769982765
