"l [mm]","Voltage [V]","w [mm]","Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
25,0,28,1.8,-0.19422663614817
25,0,28,1.82,-0.19928126848627
25,0,28,1.84,-0.204484776581666
25,0,28,1.86,-0.209846175277236
25,0,28,1.88,-0.215375156498298
25,0,28,1.9,-0.221082203411165
25,0,28,1.92,-0.2269787241135
25,0,28,1.94,-0.233077208858261
25,0,28,1.96,-0.239391415730932
25,0,28,1.98,-0.245936590860322
25,0,28,2,-0.252729730717977
25,0,28,2.02,-0.259789895946636
25,0,28,2.04,-0.267138588582594
25,0,28,2.06,-0.274800207674959
25,0,28,2.08,-0.282802602393488
25,0,28,2.1,-0.29117774708224
25,0,28,2.12,-0.299962569809898
25,0,28,2.14,-0.309199975419763
25,0,28,2.16,-0.318940116782643
25,0,28,2.18,-0.329241985170243
25,0,28,2.2,-0.340175414217657
25,0,28,2.22,-0.351823624481192
25,0,28,2.24,-0.364286481022635
25,0,28,2.26,-0.377684700571463
25,0,28,2.28,-0.39216533639645
25,0,28,2.3,-0.407909001459599
25,0,28,2.32,-0.425139484520842
25,0,28,2.34,-0.444136702359859
25,0,28,2.36,-0.46525436659218
25,0,28,2.38,-0.488944410970649
25,0,28,2.4,-0.515791265823599
25,0,28,2.42,-0.546560718543036
25,0,28,2.44,-0.582270771775315
25,0,28,2.46,-0.624296319247698
25,0,28,2.48,-0.674526874175223
25,0,28,2.5,-0.735609296775971
25,0,28,2.52,-0.811329623655996
25,0,28,2.54,-0.907227133420276
25,0,28,2.56,-1.03160232198123
25,0,28,2.58,-1.19719640016204
25,0,28,2.6,-1.42399038436092
25,0,28,2.62,-1.74369035880378
25,0,28,2.64,-2.20579656554053
25,0,28,2.66,-2.88003249144721
25,0,28,2.68,-3.82551417095236
25,0,28,2.7,-4.92306643783675
25,0,28,2.72,-5.53294936572983
25,0,28,2.74,-4.9921863319047
25,0,28,2.76,-3.84872010245533
25,0,28,2.78,-2.8359377613994
25,0,28,2.8,-2.12316157265581
25,1,28,1.8,-0.19422663614817
25,1,28,1.82,-0.19928126848627
25,1,28,1.84,-0.204484776581666
25,1,28,1.86,-0.209846175277236
25,1,28,1.88,-0.215375156498298
25,1,28,1.9,-0.221082203411165
25,1,28,1.92,-0.2269787241135
25,1,28,1.94,-0.233077208858261
25,1,28,1.96,-0.239391415730932
25,1,28,1.98,-0.245936590860322
25,1,28,2,-0.252729730717977
25,1,28,2.02,-0.259789895946636
25,1,28,2.04,-0.267138588582594
25,1,28,2.06,-0.274800207674959
25,1,28,2.08,-0.282802602393488
25,1,28,2.1,-0.29117774708224
25,1,28,2.12,-0.299962569809898
25,1,28,2.14,-0.309199975419763
25,1,28,2.16,-0.318940116782643
25,1,28,2.18,-0.329241985170243
25,1,28,2.2,-0.340175414217657
25,1,28,2.22,-0.351823624481192
25,1,28,2.24,-0.364286481022635
25,1,28,2.26,-0.377684700571463
25,1,28,2.28,-0.39216533639645
25,1,28,2.3,-0.407909001459599
25,1,28,2.32,-0.425139484520842
25,1,28,2.34,-0.444136702359859
25,1,28,2.36,-0.46525436659218
25,1,28,2.38,-0.488944410970649
25,1,28,2.4,-0.515791265823599
25,1,28,2.42,-0.546560718543036
25,1,28,2.44,-0.582270771775315
25,1,28,2.46,-0.624296319247698
25,1,28,2.48,-0.674526874175223
25,1,28,2.5,-0.735609296775971
25,1,28,2.52,-0.811329623655996
25,1,28,2.54,-0.907227133420276
25,1,28,2.56,-1.03160232198123
25,1,28,2.58,-1.19719640016204
25,1,28,2.6,-1.42399038436092
25,1,28,2.62,-1.74369035880378
25,1,28,2.64,-2.20579656554053
25,1,28,2.66,-2.88003249144721
25,1,28,2.68,-3.82551417095236
25,1,28,2.7,-4.92306643783675
25,1,28,2.72,-5.53294936572983
25,1,28,2.74,-4.9921863319047
25,1,28,2.76,-3.84872010245533
25,1,28,2.78,-2.8359377613994
25,1,28,2.8,-2.12316157265581
25,2,28,1.8,-0.19422663614817
25,2,28,1.82,-0.19928126848627
25,2,28,1.84,-0.204484776581666
25,2,28,1.86,-0.209846175277236
25,2,28,1.88,-0.215375156498298
25,2,28,1.9,-0.221082203411165
25,2,28,1.92,-0.2269787241135
25,2,28,1.94,-0.233077208858261
25,2,28,1.96,-0.239391415730932
25,2,28,1.98,-0.245936590860322
25,2,28,2,-0.252729730717977
25,2,28,2.02,-0.259789895946636
25,2,28,2.04,-0.267138588582594
25,2,28,2.06,-0.274800207674959
25,2,28,2.08,-0.282802602393488
25,2,28,2.1,-0.29117774708224
25,2,28,2.12,-0.299962569809898
25,2,28,2.14,-0.309199975419763
25,2,28,2.16,-0.318940116782643
25,2,28,2.18,-0.329241985170243
25,2,28,2.2,-0.340175414217657
25,2,28,2.22,-0.351823624481192
25,2,28,2.24,-0.364286481022635
25,2,28,2.26,-0.377684700571463
25,2,28,2.28,-0.39216533639645
25,2,28,2.3,-0.407909001459599
25,2,28,2.32,-0.425139484520842
25,2,28,2.34,-0.444136702359859
25,2,28,2.36,-0.46525436659218
25,2,28,2.38,-0.488944410970649
25,2,28,2.4,-0.515791265823599
25,2,28,2.42,-0.546560718543036
25,2,28,2.44,-0.582270771775315
25,2,28,2.46,-0.624296319247698
25,2,28,2.48,-0.674526874175223
25,2,28,2.5,-0.735609296775971
25,2,28,2.52,-0.811329623655996
25,2,28,2.54,-0.907227133420276
25,2,28,2.56,-1.03160232198123
25,2,28,2.58,-1.19719640016204
25,2,28,2.6,-1.42399038436092
25,2,28,2.62,-1.74369035880378
25,2,28,2.64,-2.20579656554053
25,2,28,2.66,-2.88003249144721
25,2,28,2.68,-3.82551417095236
25,2,28,2.7,-4.92306643783675
25,2,28,2.72,-5.53294936572983
25,2,28,2.74,-4.9921863319047
25,2,28,2.76,-3.84872010245533
25,2,28,2.78,-2.8359377613994
25,2,28,2.8,-2.12316157265581
25,3,28,1.8,-0.19422663614817
25,3,28,1.82,-0.19928126848627
25,3,28,1.84,-0.204484776581666
25,3,28,1.86,-0.209846175277236
25,3,28,1.88,-0.215375156498298
25,3,28,1.9,-0.221082203411165
25,3,28,1.92,-0.2269787241135
25,3,28,1.94,-0.233077208858261
25,3,28,1.96,-0.239391415730932
25,3,28,1.98,-0.245936590860322
25,3,28,2,-0.252729730717977
25,3,28,2.02,-0.259789895946636
25,3,28,2.04,-0.267138588582594
25,3,28,2.06,-0.274800207674959
25,3,28,2.08,-0.282802602393488
25,3,28,2.1,-0.29117774708224
25,3,28,2.12,-0.299962569809898
25,3,28,2.14,-0.309199975419763
25,3,28,2.16,-0.318940116782643
25,3,28,2.18,-0.329241985170243
25,3,28,2.2,-0.340175414217657
25,3,28,2.22,-0.351823624481192
25,3,28,2.24,-0.364286481022635
